name,id,branch,tank,tank_name,Camera Position,predict
B00610_tank1_0.jpg,520003758718,ค่ายธนะรัชต์ (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B00610_tank1_1.jpg,520003758718,ค่ายธนะรัชต์ (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B00610_tank1_2.jpg,520003758718,ค่ายธนะรัชต์ (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B00610_tank1_3.jpg,520003758718,ค่ายธนะรัชต์ (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B00610_tank2_0.jpg,520003758718,ค่ายธนะรัชต์ (RSU),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B00610_tank2_1.jpg,520003758718,ค่ายธนะรัชต์ (RSU),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B00610_tank2_2.jpg,520003758718,ค่ายธนะรัชต์ (RSU),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B00610_tank2_0.jpg,520003758718,ค่ายธนะรัชต์ (RSU),ถังน้ำใช้,NO.2 ถังน้ำใช้ ,+,ถูกต้อง
B00610_tank2_1.jpg,520003758718,ค่ายธนะรัชต์ (RSU),ถังน้ำใช้,NO.2 ถังน้ำใช้ ,+,ถูกต้อง
B00610_tank2_2.jpg,520003758718,ค่ายธนะรัชต์ (RSU),ถังน้ำใช้,NO.2 ถังน้ำใช้ ,+,ถูกต้อง
B05071_tank1_0.jpg,520003758896,ชุมชนน้ำตกนอก (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ไม่ถูกต้อง
B05071_tank1_1.jpg,520003758896,ชุมชนน้ำตกนอก (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B05071_tank1_2.jpg,520003758896,ชุมชนน้ำตกนอก (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B05071_tank1_3.jpg,520003758896,ชุมชนน้ำตกนอก (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B05071_tank1_4.jpg,520003758896,ชุมชนน้ำตกนอก (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
