name,id,branch,tank,tank_name,Camera Position,predict
B02212_tank1_0.jpg,520004086551,เล้งกี่ (บัวขาว) (REL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B02212_tank1_1.jpg,520004086551,เล้งกี่ (บัวขาว) (REL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B02212_tank2_0.jpg,520004086551,เล้งกี่ (บัวขาว) (REL),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B02212_tank2_1.jpg,520004086551,เล้งกี่ (บัวขาว) (REL),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B10237_tank1_0.jpg,520004086661,หน้าโรงพยาบาลตะกั่วทุ่ง (RSL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B10237_tank1_1.jpg,520004086661,หน้าโรงพยาบาลตะกั่วทุ่ง (RSL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B02778_tank1_0.jpg,520004086704,ถนนวิจิตร (RSL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B02778_tank2_0.jpg,520004086704,ถนนวิจิตร (RSL),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B02778_tank2_0.jpg,520004086704,ถนนวิจิตร (RSL),ถังน้ำใช้,NO.2 ถังน้ำใช้ ,+,ถูกต้อง
B03387_tank1_0.jpg,520004086869,ซอยเจริญทรัพย์ (RSL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,-,มุมกล้องไม่ถูกต้อง
B03387_tank1_1.jpg,520004086869,ซอยเจริญทรัพย์ (RSL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B03387_tank2_0.jpg,520004086869,ซอยเจริญทรัพย์ (RSL),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B03387_tank2_1.jpg,520004086869,ซอยเจริญทรัพย์ (RSL),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,-,มุมกล้องไม่ถูกต้อง
B03387_tank2_0.jpg,520004086869,ซอยเจริญทรัพย์ (RSL),ถังน้ำใช้,NO.2 ถังน้ำใช้ ,+,ถูกต้อง
B03387_tank2_1.jpg,520004086869,ซอยเจริญทรัพย์ (RSL),ถังน้ำใช้,NO.2 ถังน้ำใช้ ,+,ถูกต้อง
B03387_tank2_0.jpg,520004086869,ซอยเจริญทรัพย์ (RSL),ถังน้ำใช้,NO.3 ถังน้ำใช้ ,+,ถูกต้อง
B03387_tank2_1.jpg,520004086869,ซอยเจริญทรัพย์ (RSL),ถังน้ำใช้,NO.3 ถังน้ำใช้ ,+,ถูกต้อง
B10866_tank1_0.jpg,520004086931,ถนนราชดำเนินกลาง (BG),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B10866_tank1_1.jpg,520004086931,ถนนราชดำเนินกลาง (BG),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B10866_tank1_2.jpg,520004086931,ถนนราชดำเนินกลาง (BG),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B10866_tank1_3.jpg,520004086931,ถนนราชดำเนินกลาง (BG),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B11231_tank1_0.jpg,520004087122,ถนนกาญจนวิถี (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B11231_tank1_1.jpg,520004087122,ถนนกาญจนวิถี (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B11231_tank1_2.jpg,520004087122,ถนนกาญจนวิถี (RSU),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B11231_tank2_0.jpg,520004087122,ถนนกาญจนวิถี (RSU),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B11231_tank2_1.jpg,520004087122,ถนนกาญจนวิถี (RSU),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B11231_tank2_2.jpg,520004087122,ถนนกาญจนวิถี (RSU),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B04061_tank1_0.jpg,520004087153,ปตท.ดอนหวาย (NEL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ไม่ถูกต้อง
B04061_tank1_1.jpg,520004087153,ปตท.ดอนหวาย (NEL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ไม่ถูกต้อง
B04061_tank2_0.jpg,520004087153,ปตท.ดอนหวาย (NEL),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B04061_tank2_1.jpg,520004087153,ปตท.ดอนหวาย (NEL),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B04150_tank1_0.jpg,520004087184,ถนนร่วมจิตร (RSL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ไม่ถูกต้อง
B04150_tank1_1.jpg,520004087184,ถนนร่วมจิตร (RSL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B04152_tank1_0.jpg,520004087186,ชุมชนสรรพากรตรัง (RSL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,-,มุมกล้องไม่ถูกต้อง
B04152_tank1_1.jpg,520004087186,ชุมชนสรรพากรตรัง (RSL),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B11373_tank1_0.jpg,520004087202,ลาดปลาเค้า 72 (BE),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B11373_tank1_1.jpg,520004087202,ลาดปลาเค้า 72 (BE),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B11373_tank2_0.jpg,520004087202,ลาดปลาเค้า 72 (BE),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
