สถานะการเข้างาน,หมายเลขงาน,รหัสร้าน,ชื่อร้าน,โซน,ทีม,สัญญา,ผู้รับผิดชอบงาน,แผนเข้างาน,เวลาเริ่มงาน,เวลาปิดงาน
"ยังไม่เข้า","520004086471","B01865","สาขา ประชาสงเคราะห์ 30","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-29","",""
"ตรงแผน","520004086472","B01866","สาขา ดอนฉิมพลี","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-04 21:26:04","2024-07-04 23:26:35"
"ยังไม่เข้า","520004086473","B01870","สาขา PTTOR มอเตอร์เวย์ขาออก","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086474","B01871","สาขา PTTOR มอเตอร์เวย์ขาเข้า","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004086476","B01890","สาขา สินธิวาธานี","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086477","B01894","สาขา ปตท.บางละมุง","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-30","",""
"ตรงแผน","520004086479","B01895","สาขา ปตท.นานาใต้","BW","BW2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-07 00:05:55","2024-07-07 00:26:58"
"ยังไม่เข้า","520004086480","B01909","สาขา PTTOR หมอชิต","BN","BN9","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ตรงแผน","520004086481","B01916","สาขา เจริญกรุง 69","BW","BW3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-04 00:44:09","2024-07-04 01:39:18"
"ยังไม่เข้า","520004086482","B01918","สาขา ละงู","RSL","RSL9SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ตรงแผน","520004086484","B01923","สาขา พิมลราช","BG","BG5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-03 02:24:36","2024-07-03 02:56:45"
"ยังไม่เข้า","520004086485","B01925","สาขา อ่อนนุช 25","BS","BS4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ตรงแผน","520004086486","B01928","สาขา เนินสัมพันธ์","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-04","2024-07-05 17:27:45","2024-07-05 18:19:35"
"ยังไม่เข้า","520004086488","B01931","สาขา เวลคัมจอมเทียน","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-28","",""
"ยังไม่เข้า","520004086490","B01944","สาขา สาธารณะสุขอยุธยา","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-10","",""
"ยังไม่เข้า","520004086491","B01945","สาขา ซอยร่วมมิตร","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","",""
"ตรงแผน","520004086493","B01952","สาขา พุทธโสธร","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-02 15:07:42","2024-07-02 15:09:12"
"ยังไม่เข้า","520004086494","B01963","สาขา วุฒากาศ 42","BW","BW4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086495","B01972","สาขา อ่อนนุช 13","BS","BS4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-15","",""
"ยังไม่เข้า","520004086498","B01991","สาขา อยุธยาเมืองใหม่ซอย 5","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","",""
"ยังไม่เข้า","520004086500","B01993","สาขา PTTOR ช่างอากาศอุทิศ","BN","BN4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086502","B02002","สาขา ปตท.บางเสร่","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004086504","B02014","สาขา บางวัว","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004086506","B02035","สาขา ปตท.สลกบาตร","RC","RC1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ตรงแผน","520004086507","B02037","สาขา ปตท.สิชล 2","RSL","RSL11SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","2024-07-09 15:01:40","2024-07-09 16:27:38"
"ยังไม่เข้า","520004086508","B02041","สาขา PTTOR โค้งไผ่","RN","RN7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086510","B02051","สาขา ร้านค้าสวัสดิการในฐานทัพเรือสัตหีบ","REL","REL3","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ยังไม่เข้า","520004086512","B02058","สาขา แฟลต 8 ชั้น","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004086514","B02073","สาขา รัตนาธิเบศร์ 3","BG","BG6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ยังไม่เข้า","520004086516","B02081","สาขา ปตท.พัฒนาการ","BS","BS4","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-25","",""
"ยังไม่เข้า","520004086518","B02092","สาขา ปตท.นาราคอร์ท","BW","BW7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086520","B02103","สาขา ปตท.สงวนวงษ์","NEU","NEU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-31","",""
"ยังไม่เข้า","520004086522","B02108","สาขา PTTOR คลองโคน","BW","BW7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004086526","B02122","สาขา เจริญกรุง 75","BS","BS1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-12","",""
"ตรงแผน","520004086527","B02141","สาขา กิตติราม่า","REU","REU5SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-03","2024-07-03 16:16:04","2024-07-03 16:21:55"
"ตรงแผน","520004086528","B02143","สาขา โรงแรม VC","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-06 15:35:22","2024-07-06 16:32:36"
"ตรงแผน","520004086529","B02144","สาขา เย็นสบาย","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-08","2024-07-08 16:32:27","2024-07-08 17:29:07"
"ยังไม่เข้า","520004086532","B02156","สาขา ประตูชัย (อยุธยา)","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-13","",""
"ยังไม่เข้า","520004086535","B02160","สาขา กลางซอยลาซาล","BS","BS6","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-24","",""
"ยังไม่เข้า","520004086536","B02165","สาขา บงกชใต้","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-16","",""
"ยังไม่เข้า","520004086537","B02168","สาขา เทเวศน์ 5","BN","BN2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086538","B02169","สาขา บรรทัดทอง","BW","BW1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-30","",""
"ยังไม่เข้า","520004086539","B02178","สาขา เพชรเกษม 56","BW","BW5","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-26","",""
"ยังไม่เข้า","520004086541","B02193","สาขา งามวงศ์วาน 18","BN","BN9","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-09","",""
"ยังไม่เข้า","520004086543","B02197","สาขา ไนท์สแควร์","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
"ยังไม่เข้า","520004086544","B02199","สาขา บขส. เสนา","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-18","",""
"ยังไม่เข้า","520004086545","B02200","สาขา บ้านสร้าง","RC","RC7SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-17","",""
"ตรงแผน","520004086547","B02205","สาขา ชุมชนสะเดียง","RC","RC10SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-06","2024-07-06 09:46:20","2024-07-06 12:25:40"
"ตรงแผน","520004086548","B02207","สาขา บ้านสวนรุ่งโรจน์","REL","REL1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-02","2024-07-04 17:46:33","2024-07-04 18:34:55"
"ตรงแผน","520004086551","B02212","สาขา เล้งกี่ (บัวขาว)","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-07","2024-07-07 10:15:46","2024-07-07 10:47:35"
"ยังไม่เข้า","520004086552","B02215","สาขา ประชาร่วมมิตร","BN","BN1","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-29","",""
"ตรงแผน","520004086553","B02222","สาขา ชุมชนซอยต้นไทร","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-05","2024-07-08 01:53:54","2024-07-08 02:26:51"
"ยังไม่เข้า","520004086554","B02229","สาขา สาย 3 ซอย 13","REL","REL2","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-14","",""
"ยังไม่เข้า","520004086555","B02235","สาขา คลองลานพัฒนา","RN","RN7","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-21","",""
"ยังไม่เข้า","520004086556","B02240","สาขา คลองรั้ง","REU","REU6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-23","",""
"ยังไม่เข้า","520004086559","B02244","สาขา ชุมชนวัดราชประดิษฐาน","RC","RC6SA","สัญญาล้างถัง PP 3 เดือน","ซีพี รีเทลลิงค์","2024-07-11","",""
